,Summary Text,Sentiment Polarity,Twit_text,Sentiment Polarity Twitter
0,"How relevant is this ad to you?
Video player was slow to load content Video content never loaded Ad froze or did not finish loading Video content did not start after ad Audio on ad was too loud Other issues",0.018749999999999996,Hailey Bieber is once again trying to make it clear that she is not pregnant https://t.co/RREcoMlPtK,-0.03333333333333332
1,"A man went missing from a Carnival cruise ship in the Gulf of Mexico.
What happened next might well be a 'Thanksgiving miracle'",-0.1,"As frustrated demonstrators take to the streets across China to protest the government’s draconian Covid-19 restrictions, the Biden White House is choosing its words carefully and deliberately https://t.co/SFvfo2YWQd",-0.26666666666666666
2,"From the moment Emma Corrin appears on screen in the titular role of Netflix's new adaptation of D. H. Lawrence's novel ""Lady Chatterley's Lover,"" her clothing mirrors the emotions of her character.
Emma Corrin as Lady Chatterley and Jack O'Connell as Oliver Mellors in ""Lady Chatterley's Lover.""
""Costumes in period dramas are so often focused on texture and touch,"" Woods said.
Lady Chatterley's shift from draped gowns to delicate fabrics is a case in point: Her ""shedding"" of formal dressing isn't just a style choice, but an act of freedom and defiance against aristocratic elitism.
""Lady Chatterley's Lover"" is out on Netflix on November 25.",-0.02121212121212121,A Finnish brand is bringing high fashion to an unexpected venue: McDonald's. https://t.co/BtDXsPw3Fw,0.13
3,"Written by Jack Guy Christian Edwards, CNNAround 2,500 people stripped off for a naked photo shoot on Australia's Bondi Beach on Saturday, designed to raise awareness of skin cancer.
Tunick is partnering with Skin Check Champions, a charity that runs free, educational skin check clinics.
The shoot was designed to raise awareness around skin cancer.
Credit: Saeed Khan/AFP/Getty ImagesMaggs founded Skin Check Champions in 2010, after his friend Wes Bonny died of skin cancer at the age of 26.
""Everyone is welcome to participate, we welcome all body types, genders, and race -- with a passion to stop skin cancer in its tracks.""",0.36428571428571427,"Iranian soccer great Ali Karimi has alleged that death threats have been made against him, while his family and close friends have been intimidated and harassed by the Iranian government following his support of ongoing protests in the country https://t.co/Dy5it1IgWP",0.23333333333333336
4,"Written by Oscar Holland, CNNWhen celebrated photographer Greg Girard landed in Tokyo in April 1976, he expected to spend only a few days in the Japanese capital.
Credit: Greg GirardWhat began as a whim became a four-year stint, which saw Girard teaching English by day and photographing Tokyo by night.
Credit: Greg GirardGirard's once-futuristic images ooze vibrant greens, pinks and blues, colors saturated by his use of long exposure settings.
As he familiarized himself with Tokyo, Girard used photography as an excuse to explore quieter areas he might not otherwise have visited.
Looking back, Girard says his photos of Japan serve as a kind of diary of his youth.",0.06515151515151514,"Twitter said it will no longer enforce its longstanding Covid misinformation policy, yet another sign of how Elon Musk plans to transform the social media company he bought a month ago https://t.co/JuXf7mWE8d",0.03333333333333333
5,"Credit: Douglas Friedman/Architectural DigestFast-forward to 2013, and the home was on the market again.
But I love design that tells a story,"" Pompeo told ADThroughout the home are subtle nods to that décor principle, adding personality to its living spaces.
The January 2023 issue of AD offers a tour of Ellen Pompeo's Malibu retreat.
Credit: Douglas Friedman/Architectural DigestAs someone the magazine describes as having ""a weakness for real estate,"" this is not Pompeo's first home renovation.
Moving forward, Pompeo told AD she is preparing to embark on a new Hulu project, and is otherwise reveling both in her newly-found free time and her newly-renovated home — and its surroundings.",0.17900432900432903,"Clarence Gilyard Jr., the actor best known for playing computer hacker Theo in “Die Hard” and naval flight officer Marcus “Sundown” Williams in “Top Gun,” has died at the age of 66 https://t.co/phN1W9z8gc",0.40277777777777773
6,"Balenciaga is seeking at least $25 million in damages from production company North Six, Inc., set designer Nicholas Des Jardins and his companyBalenciaga hired North Six and Des Jardins to develop and produce its Spring 2023 campaign, according to the court summons.
In its statement to CNN, Balenciaga said ""all the items included in this shooting were provided by third parties that confirmed in writing that these props were fake office documents.
North Six and Des Jardins, it states, should be held liable for ""all harm resulting from this false association.""
Balenciaga had apologized for the campaign last week, saying it had ""immediately removed the campaign from all platforms.""
Both North Six and a representative for Nicholas Des Jardins LLC said they were not involved in the plush bear campaign.",-0.1285714285714286,"Firearm deaths surged in the US during the Covid-19 pandemic, killing a record number of people in 2021. But as America’s gun epidemic gets worse, its burden is not equal. https://t.co/DxrDVE8hTB",-0.2
7,"Kendall paired a $4,200 Bottega Veneta bag with a pair of opaque black tights and slingbacks.
There's a chic, dancer-like quality to Jenner's outfit, akin to a Bob Fosse chorus girl or an off-duty ballerina.
To keen-eyed fashion historians, Jenner's outfit may also be a reference to It-girl and Andy Warhol muse, Edie Sedgwick.
In fact, so notorious was Segdwick's trouser-lessness, Life magazine published a 1965 piece about her style titled ""The Girl with the Black Tights.""
Kylie Jenner switched up her tights-only look with a pair of Loewe tighty-whities worn on top.",0.05555555555555556,World Cup chief Hassan Al-Thawadi said that between 400 and 500 migrant workers have died as a result of work done on projects connected to the tournament – a greater figure than Qatari officials have cited previously https://t.co/zEmyn3MQLw,0.16666666666666669
8,"Written by Toyin Owoseje, CNNCelebrated British artist David Hockney is renowned for the bold and expressive use of color in his paintings.
So, it was only right that he made a daring sartorial statement when he was invited to the Order of Merit luncheon at Buckingham Palace.
Hockney's footwear stood out as he posed with with Members of the Order of Merit and King Charles at the annual luncheon.
Credit: Aaron Chown/Getty ImagesHockney was among the members of the prestigious Order of Merit invited by King Charles for their annual Buckingham Palace lunch.
Others included broadcaster Sir David Attenborough, actress and children's TV icon Baroness Floella Benjamin, playwright and screenwriter Sir Tom Stoppard and Ghanaian-British architect Sir David Adjaye.",0.2838095238095238,"A family in Fort Worth, Texas, has been reunited with their daughter who was kidnapped as a baby more than five decades ago thanks to a DNA match from the ancestry service 23andMe https://t.co/pjZdojDNwu",0.3333333333333333
9,"""The serene and calming aesthetics of Japandi style and the craftsmanship items that are more durable fits perfectly within these needs.""
Japandi style also celebrates craftmanship, whether it's Isamu Noguchi's delicate light sculptures or furniture by Carl Hansen, whose wishbone chairs sell for thousands of dollars.
And, in any case, the beauty of Japandi design is that there are no strict criteria to follow, the author added.
""Every home and Japandi style interpretation is different,"" she said.
Credit: Credit: CocoonTop image: Interiors by MENU Space.",0.32,"Mauna Loa, the world's largest active volcano, is erupting after nearly 40 years.  CNN chief climate correspondent Bill Weir explains why native Hawaiians and tourists are paying homage to this  sacred volcano.  Watch here: https://t.co/eqpvION0lk",-0.016666666666666663
10,"Christie's has withdrawn a Tyrannosaurus rex skeleton from sale, with just days to go until the historic auction, after a paleontologist said the fossil largely comprises copyrighted replica bones from another specimen.
Touted as the highlight of Christie's upcoming Hong Kong sales, Shen was set to become the first T. rex skeleton auctioned in Asia.
While Christie's declined to address the specifics of Larson's claims or its reasons for canceling the sale, a spokesperson told CNN via email: ""There is no T. rex skeleton extant that is entirely made up of original bones.
Luke Santangelo, a lawyer representing the Black Hills Institute, told CNN he contacted Christie's in late September and that the auction house was receptive to his concerns.
Both Santangelo and Larson told CNN the changes didn't go far enough toward addressing their concerns but added that Christie's had done the right thing by withdrawing the skeleton from auction.",0.07583333333333334,"The family of Eliahna Torres, who was killed in the massacre at Robb Elementary in Uvalde, Texas, have filed a lawsuit against nearly two dozen people and entities, including the gun manufacturer and store that provided the rifle used in the attack https://t.co/AObJPsvluL",0.06666666666666667
